Name,Client,Ink Type,Substrate,Coating,Ink number,SAP,approved_on ,created_at,Comments,customer_id
PMS 122,,C,EVEREST,AQ,EPC0122E,1607895,INT,20/Jan/2020,,3
PMS 123,,C,CCNB,AQ MATTE,EPC0123C,1500401,,27/Nov/2018,,3
PMS 1235,,UV,CCNB,ST,EPU1235C,1472594,INT,1/Feb/2019,,3
PMS 1235,,C,EVEREST,AQ,EPC1235E,1472546,INT,14/Aug/2019,,3
PMS 1235C,,UV,SBS,AQ,EPU1235C,1472594,,17/Jan/2014,,3
PMS 123C,,UV,EVEREST,AQ,EPU0123E,1505462,INT,14/May/2018,,3
PMS 123C,,UV,CCNB,MATTE AQ,EPU0123E,1505462,,30/Oct/2018,,3
PMS 124C,,UV,EVEREST,AQ,EPU0124E,1569642,,8/Jun/2018,,3
PMS 130,,C,EVEREST,AQ,EPC0130E,1506656,,18/Sep/2018,,3
PMS 130C,,UV,EVEREST,,EPU0130E,1506656,INT,28/Nov/2017,,3
PMS 135C,,UV,EVEREST,ST+UV,EPU0135E,1530501,,31/Oct/2016,,3
PMS 137,,C,EVEREST,AQ,EPC0137E,1505421,INT,24/May/2018,,3
PMS 1375,,UV,EVEREST,AQ,EPU1375C,1560690,INT,16/Apr/2018,,3
PMS 1375,,UV,EVEREST,AQ,EPU1375C,1560690,INT,1/Feb/2018,,3
PMS 1375,,C,EVEREST,AQ,EPC1375E,1573987,INT,23/Aug/2018,,3
PMS 1375C ORANGE,,UV,EVEREST,AQ,EPS0277E,1585698,,11/Mar/2109,,3
PMS 137C,,UV,EVEREST,AQ,EPU0137E,1583490,INT,5/Feb/2019,,3
PMS 143,,C,EVEREST,ST,EPC0143E,1585308,CLIENT,3/Jun/2019,,3
PMS 143C,,UV,EVEREST,UV,EPU0143E,1572765,,1/Aug/2018,,3
PMS 144,,C,CCNB,AQ,EPC0144C,1486930,,27/Nov/2018,,3
PMS 144C,,UV,CCNB,MATTE AQ,EPU0144E,1493138,,30/Oct/2018,,3
PMS 144C,,UV,EVEREST,AQ,EPU0144E,1493138,INT,15/Dec/2017,,3
PMS 144C YELLOW,,UV,EVEREST,AQ,EPS0280E,1585694,,11/Mar/2109,,3
PMS 1495,,UV,EVEREST,AQ,EPU1495E,1569796,CLIENT,12/Jun/2018,,3
PMS 1495,,C,EVEREST,AQ,EPC1495E,1580234,,11/Dec/2018,,3
PMS 1495C ORANGE,,UV,EVEREST,AQ,EPS0255E,1580335,CLIENT,12/Dec/2018,,3
PMS 150,,C,PRINTKOTE,AQ,EPC0150C,1511262,,30/Nov/2015,,3
PMS 1505,,UV,EVEREST,UV,EPU1505C,1497269,,9/Apr/2015,,3
PMS 151,,UV,EVEREST,UV,EPU0151E,1521187,CLIENT,2/Jun/2016,,3
PMS 1545,,UV,CCNB,ST,EPU1545E,1539902,,1/Feb/2019,,3
PMS 1545,,UV,EVEREST,UV,EPU1545E,1539902,CLIENT,23/Mar/2017,,3
PMS 1545,,C,EVEREST,AQ,EPC1545E,1575760,,24/Sep/2018,,3
PMS 155,,UV,MILLMASK,AQ,EPU0155C,1543245,,11/May/2017,,3
PMS 1555,,UV,EVEREST,MATTE AQ,EPU1555E,1594092,INT,3/Jul/2019,,3
PMS 157C,,UV,,AQ,EPU0157E,1602569,INT,16/Oct/2019,,3
PMS 158,,C,EVEREST,ST,EPC0158E,1585322,CLIENT,6/Mar/2019,,3
PMS 1585,,UV,EVEREST,UV,EPU1585E,1593827,,26/Mar/2020,,3
PMS 1585,,C,EVEREST,AQ,EPC1585E,1598125,INT,15/Aug/2019,,3
PMS 1595,,UV,EVEREST,UV,EPU1595E,1564619,CLIENT,27/Mar/2018,,3
PMS 159C,,UV,EVEREST,,EPU0159E,1556881,CLIENT,28/Nov/2017,,3
PMS 162C,,UV,EVEREST,UV,EPU0162E,1575568,,19/Sep/2018,,3
PMS 1635,,UV,EVEREST,AQ,EPU1635E,1577902,,30/Oct/2018,,3
PMS 165,,UV,EVEREST,AQ,EPU0165E,1538820,INT,21/Feb/2018,,3
PMS 1655,,UV,CCNB,MATTE,EPU1655C,1595632,INT,26/Jun/2019,,3
PMS 1665,,UV,,MATTE AQ,EPU1665C,1488582,,25/Oct/2018,,3
PMS 1665,,C,CCNB,MATTE AQ,EPC1665C,1577856,,30/Oct/2018,,3
