Name,Client,Ink Type,Substrate,Coating,Ink number,SAP,approved_on ,created_at,Comments
PMS 169,,C,EVEREST,AQ,EPC0169E,1603649,CLIENT,05-Dec-19,
PMS 170,,C,CCNB,AQ,EPC0170C,1600108,,06-Sep-19,
PMS 171C,,UV,EVEREST,AQ,EPU0171E,1538359,,24-Feb-17,BRING UP DENSITY
PMS 172C,,UV,Everest,UV,EPU0172E,1613419,,23-Apr-20,
PMS 173C,,UV,EVEREST,MATTE UV,EPU0173E,1578481,,08-Nov-18,
PMS 1788,,UV,SBS,UV,EPU1788C,1497270,,09-Apr-15,
PMS 1788,,UV,EVEREST,ST,EPU1788E,1531531,,01-Nov-16,
PMS 1788,,C,EVEREST,AQ,EPC1788E,1545058,INT,17-Jun-17,
PMS 179,,C,EVEREST,AQ,EPC0179C,1492955,,16-Jul-15,
PMS 1795 RED,,UV,FOIL,,EPS0212C,1556880,CLIENT,29-Nov-17,
PMS 1805,,UV,SUS,UV,EPU1805C,1596956,INT,17-Jul-19,
PMS 1805,,UV,EVEREST,AQ,EPU1805C,1596956,,01-Aug-19,
PMS 1805,,C,EVEREST,AQ,EPC1805E,1575748,,24-Sep-18,
PMS 184,,C,CCNB,AQ,EPC0184C,1600107,INT,06-Sep-19,
PMS 185,Advil,UV,EVEREST,AQ,EPU0185E,1490779,Client,20-Apr-20,
PMS 185,,C,EVEREST,AQ,EPC0185E,1523079,,05-Oct-18,
PMS 185,,C,EVEREST,AQ,EPC0185E,1497599,,06-May-16,
PMS 185,Advil,C,Everest,,1613082-1319,1613082,INT,16-Apr-20,Hard Dri for blister coating
PMS 185C RED,,UV,GREASE RESIST,AQ,EPS0161C,1527859,INT,25-Aug-16,
PMS 185C RED,,UV,EVEREST,AQ,EPS0279E,1585695,,11-Mar-09,
PMS 186 RED,SAP NOT EXIST,UV,CCNB,AQ,EPS0004C,1469395,INT,30-Oct-13,
PMS 186 RED,,UV,Foil Board,UV MATTE,EPS0308C,1613776,Int,30-Apr-20,
PMS 186C,,UV,CCNB,,EPU0186C,1466818,,29-Oct-13,
PMS 186C,,UV,EVEREST,AQ,EPU0186C,1466818,,30-Oct-18,
PMS 187C,,UV,EVEREST,UV,EPU0187E,1535167,INT,05-Jan-16,
PMS 188,,UV,Everest,AQ,EPU0188E,1611140,Int,09-Mar-20,
PMS 188,Advil,UV,Everest,AQ,EPU0188E,1611140,Int,09-Mar-20,
PMS 188,,C,EVEREST,AQ,EPC0188E,1611270,INT,10-Mar-20,
PMS 1905,,UV,EVEREST,UV,EPU1905E,,,13-Jul-16,
PMS 1915,,UV,EVEREST,UV,EPU1915E,,INT,12-Jul-16,
PMS 1915,,UV,EVEREST,AQ,EPU1915E,1524967,,30-Oct-18,
PMS 1915,,UV,EVEREST,,EPU1915E,,CLIENT,28-Nov-17,
PMS 192,,UV,PRO,AQ,EPU0192C,1609386,INT,10-Feb-20,
PMS 193,,C,EVEREST,AQ,EPC0193E,1598663,INT,14-Aug-19,
PMS 1935,,UV,,UV,EPU1935E,,INT,05-Apr-17,
PMS 1935,,C,EVEREST,AQ,EPC1935C,1579589,,29-Nov-18,
PMS 193C,,UV,EVEREST,UV,EPU0193E,1498493,INT,15-Jan-19,
PMS 194,,UV,POLY,AQ,EPU0194P,1509099,INT,14-Sep-16,
PMS 194,,C,EVEREST,AQ,EPC0194C,1576734,,10-Oct-18,
PMS 195C,Advil,UV,Everest,AQ,EPU0195E,1613795,Int,30-Apr-20,
PMS 195C MAROON,,UV,MET POLY,UV MATTE,EPS0226C,1568938,,30-May-18,
PMS 199,,C,EVEREST,AQ,EPC0199E,1505815,INT,25-Aug-15,
PMS 199C,,UV,MET POLY,UV,EPU0199E,1537364,CLIENT,21-Oct-19,
PMS 199C,,UV,EVEREST,UV,EPU0199E,1537364,,15-Feb-17,
PMS 200,,C,CCNB,AQ,EPC0200C,1573539,INT,18-Aug-18,
PMS 200,,C,EVEREST,AQ,EPC0200E,1505905,INT,16-Aug-18,
PMS 2002,,UV,N FLUTE,AQ,EPU2002C,1534959,INT,04-Jan-16,
PMS 2006,,UV,PRINTKOTE,AQ,EPU2006C,1531304,INT,27-Oct-16,
PMS 200C,,UV,COLD FOIL,UV,EPU0200E,1544137,CLIENT,19-Jun-19,
PMS 200C,,UV,EVEREST,UV,EPU0200E,1544137,INT,30-May-17,
PMS 200C,,UV,EVEREST,ST+UV,EPU0200E,1544137,,31-Oct-16,
PMS 201E,,UV,EVEREST,AQ,EPU0201E,1518292,CLIENT,09-Feb-18,
PMS 2041,,UV,EVEREST,UV,EPU2041E,1582102,INT,16-Jan-19,
PMS 2041C RED,,UV,MET POLY,UV,EPS0254C,1579087,,19-Nov-18,
PMS 205C,,UV,EVEREST+COLD FOIL,,EPU0205E,1511519,,07-Dec-15,
PMS 206C RED,,UV,N FLUTE,AQ,EPS0199C,1545879,,29-Jun-17,
PMS 208,,C,EVEREST,AQ,EPC0208E,1610227,INT,24-Feb-20,
PMS 209,Advil,C,EVEREST,AQ,EPC0209E,1513294,Int,14-Apr-20,
PMS 210,,C,EVEREST,AQ,EPC0210C,1497996,CLIENT,31-Oct-16,
PMS 2104,,UV,EVEREST,UV MATTE,EPU2104E,1578493,,08-Nov-18,
PMS 2119,,UV,EVEREST,UV,EPU2119E,1564614,CLIENT,23-Mar-18,
PMS 212,,C,EVEREST,AQ,EPC0212E,1574665,INT,14-Sep-18,
PMS 212C,WALLGREENS,UV,EVEREST,AQ,EPU0212E,1565428,CLIENT,05-Apr-18,
PMS 212C,,UV,COLD FOIL,UV,EPU0212E,1565428,CLIENT,19-Jun-19,
PMS 213C,,UV,CCNB,MATTE,EPU0213C,1595609,INT,26-Jun-19,
PMS 2144,,UV,EVEREST,UV,EPU2144E,1596340,INT,09-Jul-19,
PMS 2144,,C,EVEREST,AQ,EPC2144E,1545053,INT,15-Jun-17,
PMS 220,,UV,EVEREST,AQ,EPU0220E,1611033,INT,05-Mar-20,
PMS 220,,C,EVEREST,AQ,EPC0220E,1529854,,30-Sep-14,
PMS 221C,,UV,CHIP,AQ,EPS0194C,1544118,INT,30-May-17,
PMS 224,,UV,EVEREST,UV,EPU0224E,1540064,INT,23-Mar-17,
PMS 2248,,UV,N FLUTE,AQ,EPU2248C,1522774,,29-Jun-17,
PMS 225,,UV,EVEREST,AQ,EPU0225E,1611034,INT,11-Mar-20,
PMS 225,,C,EVEREST,AQ,EPC0225C,1560802,INT,01-Feb-18,
PMS 227,,UV,EVEREST,AQ,EPU0277E,1553424,CLIENT,11-Oct-17,
PMS 227 ,,UV,EVEREST,UV,EPU0227E,1553424,CLIENT,23-Mar-18,
PMS 228,,C,CCNB,AQ,EPC0228C,1529251,INT,06-Sep-19,
PMS 2301,,C,ANCORA,AQ,EPC2301AC,1606953,INT,03-Jan-20,
PMS 231,,C,EVEREST,,EPC0231E,1501225,,06-Aug-15,
PMS 233,,C,EVEREST,AQ,EPC0233E,1462450,INT,14-Sep-14,
PMS 233,,UV,EVEREST,,EPU0233E,1529331,,,
PMS 2333,,UV,EVEREST,AQ,EPU2333E,1567955,INT,14-May-18,
PMS 234,,C,CCNB,AQ MATTE,EPC0234C,1578971,,16-Nov-18,
PMS 234C,,UV,EVEREST,AQ,EPU0234E,1477603,INT,23-Sep-14,DENSITY HIGH
PMS 234C PINK,,UV,,MATTE AQ,EPS0252C,1577715,,26-Oct-18,
PMS 239,,C,EVEREST,AQ,EPC0239E,1505901,INT,26-Aug-15,
PMS 2397,,C,EVEREST,AQ,EPC2397,1597939,INT,01-Aug-19,
PMS 2397,,C,EVEREST,AQ,EPC2397E,1599333,,26-Aug-19,
PMS 2405,,UV,KALLIMA,UV,EPU2405C,1553138,CLIENT,17-Dec-17,
PMS 2415,,UV,EVEREST,AQ,EPU2415E,1607525,CLIENT,14-Jan-20,
PMS 241C,,UV,EVEREST,AQ,EPU0241E,1600286,,10-Sep-19,
PMS 2422,,UV,EVEREST,UV,EPU2422E,1564615,CLIENT,23-Mar-18,
PMS 254,,UV,Everest,UV,EPU0254E,1613426,Int,23-Apr-20,
PMS 255,,UV,EVEREST,AQ,EPU0255E,1611446,INT,12-Mar-20,
PMS 255,,C,POLY,AQ,EPS0092C,1501546,INT,02-Oct-18,
PMS 255,,C,EVEREST,AQ,EPS0092E,1501546,INT,14-Aug-15,
PMS 255 PURPLE,,UV,EVEREST,AQ,EPS0200E,1546378,CLIENT,17-Oct-17,
PMS 2573C PINK,,UV,MET POLY,,EPS0146C,1525182,CLIENT,28-Sep-14,
PMS 2582,Advil,UV,Everest,AQ,EPU2582E,1611282,Client,09-Apr-20,
PMS 2583,Advil,UV,Everest,AQ,EPU2583E,1493880,Client,24-Apr-20,
PMS 2587,,UV,EVEREST,UV,EPU2587C,1480135,INT,07-Feb-20,A LITTLE HEAVY TO BOOK
PMS 2587,,UV,SBS,AQ,EPU02587,1480135,,28-May-14,
PMS 2587,Advil,C,EVEREST,AQ,EPC2587E,1608841,INT,14-Apr-20,
PMS 2593,Advil,UV,EVEREST,AQ,EPU2593E,1537598,Client,24-Apr-20,
PMS 2593,,C,EVEREST,AQ,EPC02593,1499018,CLIENT,31-Aug-16,
PMS 260,,C,CCNB,AQ MATTE,EPC0260C,1579378,,27-Nov-18,
PMS 260 PURPLE,,UV,MET POLY,,EPS0147C,1525299,CLIENT,28-Sep-14,
PMS 2602,Advil,C,Everest,AQ,EPC2602E,1612963,,14-Apr-20,
PMS 2603,Advil,UV,Everest,AQ,EPU2603C,1467462,Int,02-Mar-20,
PMS 2603,Advil,C,EVEREST,AQ,EPC2603E,1608974,INT,03-Feb-20,
PMS 260C,,UV,CCNB,MATTE AQ,EPU0260C,1528606,,22-Nov-18,
PMS 260C PURPLE,,UV,MET POLY,UV,EPS0134C,1522122,,24-May-16,
PMS 2613,,UV,EVEREST,UV,EPU2613E,1568059,CLIENT,15-May-18,
PMS 2617,,UV,EVEREST,UV,EPU2617E,1529094,INT,17-May-17,
PMS 2645,,C,,AQ,EPC2645E,1542368,INT,26-Apr-17,
PMS 2665,,UV,EVEREST,MATTE AQ,EPU2665E,1594137,INT,03-Jul-19,
PMS 2665,,C,CCNB,AQ,EPC2665C,1585889,INT,13-Mar-19,
PMS 266C,Advil,UV,EVEREST,AQ,EPU0266E,1613444,Client,24-Apr-20,
PMS 267C,,UV,EVEREST,UV,EPU0267E,1537214,,23-Feb-17,
PMS 267C,,UV,EVEREST,AQ,EPU0267E,1537214,INT,07-Feb-17,
PMS 2685,,C,EVEREST,AQ,EPC2685C,1510486,,23-Aug-17,
PMS 2685 PURPLE C,,UV,FOIL,AQ,EPS0133C,1521534,CLIENT,12-May-16,
PMS 2685C PURPLE,,UV,N FLUTE,AQ,EPS0215C,1558816,CLIENT,05-Jan-18,
PMS 268C,,UV,EVEREST,,EPU0268E,1508126,,06-Oct-15,
PMS 271 PURPLE,,UV,EVEREST,AQ,EPS0211E,1553136,CLIENT,17-Oct-17,
PMS 271C PURPLE,,C,EVEREST,AQ,EPS0241C,1576405,INT,02-Oct-18,
PMS 2725,,UV,EVEREST,UV,EPU2725E,1537216,,21-Feb-17,
PMS 2725,,UV,EVEREST,AQ,EPU2725E,1537216,INT,07-Feb-17,RUN DENSITY DOWN TO MATCH
PMS 2725,,UV,EVEREST,UV,EPU2725E,1537216,INT,04-Dec-17,
PMS 2726,,UV,EVEREST,AQ,EPU2726E,1557047,INT,29-Nov-17,
PMS 2726,,C,EVEREST,AQ,EPC2726E,1557317,INT,01-Dec-17,
PMS 2727,,C,EVEREST,AQ,EPC2727E,1554029,INT,27-Jun-18,
PMS 272C,,UV,N FLUTE,AQ,EPU0272C,1558471,INT,27-Dec-17,
PMS 273,,C,EVEREST,AQ,EPC0273E,1611320,INT,11-Mar-20,
PMS 2736,,UV,EVEREST,UV,EPU2736E,1540899,INT,05-Apr-17,
PMS 2736,,UV,SBS,AQ,EPU2736E,1540899,,26-Jul-19,
PMS 2736,,C,EVEREST,AQ,EPC2736,1553117,,16-Oct-17,
PMS 273C,Advil,UV,Everest,AQ,EPU0273C,1528876,Client,25-Mar-20,
PMS 2745,,UV,EVEREST,UV,EPU2745E,1535169,INT,05-Jan-16,
PMS 2746,,UV,SBS,UV,EPU2746C,1497266,,09-Apr-15,
PMS 2746,,C,EVEREST,AQ,EPC2746E,1534916,,03-Jan-16,
PMS 2756,,UV,EVEREST,UV,EPU2756E,1546393,CLIENT,11-Jul-17,
PMS 2756,,C,EVEREST,AQ,EPC2756E,1585887,INT,13-Mar-19,
PMS 2757,,C,CCNB,AQ,EPC2757C,1574321,,30-Aug-18,
PMS 2757,,C,EVEREST,AQ,EPC2757C,1484859,,14-Aug-15,
PMS 2758,,C,EVEREST,AQ,EPC2758E,1573327,CLIENT,16-Apr-18,
PMS 2758,,UV,EVEREST,UV,EPU2758C,1560751,,09-Jan-18,
PMS 2758C BLUE,,UV,EVEREST,AQ,EPS0275E,1585701,,11-Mar-09,
PMS 2767,Advil,UV,Everest,AQ,EPU2767E,1610616,Int,20-Feb-20,
PMS 2767,,C,EVEREST,AQ,EPC2767E,1609075,INT,18-Feb-20,
PMS 2768C BLUE,,UV,EVEREST,UV,EPS0223E,1566615,CLIENT,20-Apr-18,
PMS 279,,C,EVEREST,AQ,EPC0279E,1520163,,30-Sep-14,
PMS 280C,,UV,MET POLY,UV,EPU0280C,1493772,CLIENT,21-Oct-19,
PMS 281C,,UV,EVEREST,UV,EPU0281E,1516636,CLIENT,06-May-16,
PMS 283,,UV,EVEREST,MATTE,EPS0190E,1543465,,17-May-17,
PMS 283C,,UV,EVEREST,AQ,EPU0283E,1607460,CLIENT,14-Jan-20,
PMS 283,,C,EVEREST,,ECP0283E,1607812,,,
PMS 284,,C,EVEREST,AQ,EPC0284E,1588526,,30-Sep-14,
PMS 285,,C,EVEREST,AQ,EPC0285C,1505401,CLIENT,26-Jan-18,
PMS 285C BLUE,,UV,MILLMASK,AQ,EPS0284C,1588526,,22-Apr-19,
PMS 286,,C,SBS,AQ,EPC0286C,1484276,INT,15-Aug-14,
PMS 286C, ,UV,MET POLY,UV,EPS0286C,,,31-May-16,
PMS 286C BLUE,,PLASLAM,MET POLY,UV,EPS0137C,1522515,,31-May-16,
PMS 287,,UV,EVEREST,MATTE,EPU0287E,1524794,,17-May-17,
PMS 287,,UV,EVEREST,MATTE ,EPS0191E,1543591,CLIENT,19-May-17,
PMS 288C,,UV,SBS,AQ,EPU0288C,1470994,,06-Dec-13,
PMS 2905,,UV,EVEREST,,EPU2905E,1524968,CLIENT,28-Nov-17,
PMS 2905,,UV,EVEREST,UV,EPU2905E,1524968,INT,19-Jul-16,
PMS 291,,C,EVEREST,AQ,EPC0291C,1493876,INT,25-Aug-15,
PMS 2915,,UV,EVEREST,UV,EPU2915E,1583489,INT,05-Feb-19,
PMS 291C BLUE,,UV,SUS,UV,EPS0295C,1596955,INT,17-Jul-19,
PMS 2925,,UV,EVEREST,UV,EPU2925E,1529475,INT,21-Feb-17,
PMS 2925,,UV,SBS,AQ,EPU2925E,1529475,CLIENT,16-Oct-19,
PMS 292C,,UV,N FLUTE,AQ,EPU0292C,1508857,,20-Nov-17,
PMS 293,,UV,EVEREST,UV,EPU0293E,1613447,CLIENT,17-May-17,
PMS 293,,UV,SBS,AQ,EPU0293E,1613447,CLIENT,16-Oct-19,
PMS 293,Advil,UV,Everest,AQ,EPU0293E,1613447,Client,23-Apr-20,
PMS 293,,UV,EVEREST,MATTE,EPS0192E,1543464,CLIENT,19-May-17,
PMS 293,,C,EVEREST,AQ,EPC0293E,1610663,INT,28-Feb-20,
PMS 2935,,UV,EVEREST,AQ,EPU2935E,1543247,CLIENT,19-Jun-18,
PMS 2935,,UV,CCNB,AQ,EPU2935C,1543247,,11-May-17,
PMS 2935,,C,EVEREST,AQ,EPC2935E,1580222,INT,11-Dec-18,
PMS 2945,,UV,EVEREST,AQ,EPU2945E,1529467,INT,23-Sep-14,
PMS 2945,,UV,EVEREST,UV,EPU2945E,1529467,,08-Nov-18,
PMS 2945C BLUE,,UV,EVEREST,AQ,EPS0237E,1574701,,06-Sep-18,
PMS 2945C WALGREENS BLUE,,UV,EVEREST,AQ,EPS0220E,1565425,CLIENT,05-Apr-18,
PMS 295,Advil,C,Everest,,1613079-1319,1613079,Int,16-Apr-20,Hard Dri for blister coating
PMS 2955C BLUE,,UV,CARTONMATE,AQ,EPS0140,1522854,,07-Jun-16,
PMS 295C,,UV,EVEREST,UV,EPU0295E,1521966,,06-Feb-17,
PMS 297,,C,EVEREST,AQ,EPC0297E,1574227,,28-Aug-18,
PMS 2975,,UV,EVEREST,UV,EPU2975E,1565568,CLIENT,08-Apr-15,
PMS 2985,,UV,EVEREST,AQ,EPU2985E,1569797,CLIENT,12-Jun-18,
PMS 2985,,C,EVEREST,AQ,EPC2985E,1580198,INT,11-Dec-18,
PMS 298C,,UV,EVEREST,AQ,EPU0298E,1527002,INT,06-Mar-17,
PMS 298C,,UV,EVEREST,UV,EPU0298E,1527002,INT,12-Aug-16,
PMS 2995,,UV,EVEREST,UV,EPU2995E,1557214,INT,29-Nov-17,
PMS 2995,,UV,EVEREST,UV,EPU2995E,1557214,CLIENT,06-Apr-18,
